NOM;ADRESSE;CP;LAT;LON;VILLE;TEL;EMAIL
LEROUX PNEU;1, RUE D'ALSACE LORRAINE;62120 ;50.6384449;2.3901565;AIRE SUR LA LYS;null;null
NEW GALAXIE PNEUS;7 Route du Cendre;63800 ;45.732191;3.181850;Cournon d'Auvergne;null;null
BOTA PNEUMATIQUES;KM 1 ROUTE NATIONALE 612;66300 ;42.625271;2.767372;LLUPIA;null;null
PNEUS SERVICES;3 avenue des Frères Montgolfier;69680 ;45.7275265;4.9639040;CHASSIEU;null;null
MPV AUTO 72;12 AVENUE DU MANS;72500 ;47.6992157;0.4131237;CHATEAU DU LOIR;null;null
C&C CENTRALE DU PNEU;456 ROUTE DU LAC;73110 ;45.447259;6.096490;DETRIER;null;null
FORUM PNEUS;65-67, RUE DE FRANCE;77300 ;48.4057463;2.6949710;FONTAINEBLEAU;null;null
HYPERPNEUS;382, RUE PIERRE MENDES France;76600 ;49.5154583;0.1549686;LE HAVRE;null;null
HYPERPNEUS 93;143 rue de meaux;93410 ;48.9354349;2.5719446;VAUJOURS;null;null
CENTRE AUTO FA;Z.A LES ARENES Zone Commercial Carrefour Chaussée D'abbeville;80270 ;49.977548;1.938801;AIRAINES;null;null
GARAGE BLACHON;161-163, AVENUE ALBERT 1ER;81100 ;43.5969672;2.2282193;CASTRES;null;null
PEREIRA PNEUS;52 avenue du 10 éme dragon;82 000;44.023951;1.340666; MONTAUBAN;null;null
GARAGE ESPACE PNEUS;Rue Jean Monnet Entre Gemo et Afflelou;95350 ;49.011911;2.350029;SAINT BRICE SOUS FORET;null;null
MOP PNEUS;34 chemin de la Villette;83400 ;43.1091870;6.1224099;HYERES;null;null
VAISON PNEUS;ROUTE DE NYONS - AVENUE MARCEL PAGNOL ZA DU BRUSQUET;84110 ;44.246361;5.091410;VAISON LA ROMAINE;null;null
PNEUS DU BOCAGE;65 AVENUE DE CHOLET;85500 ;46.8826837;-1.0103578;LES HERBIERS;null;null
ST FLORENTIN PNEUMATIQUES - ASP;7 rue Jules Lancôme;89600 ;48.0029401;3.7281375;SAINT FLORENTIN;null;null
CENTRE PIERRE PNEUS SARL;131 AVENUE DE VERSAILLES - VILLEPREUX LES CLAYES;78450 ;48.820332;1.998394;VILLEPREUX;null;null
