name;address;postal code;city;phone;lattitude;longitude;company;idpoi;dfselection
CENTER PNEUS - BELLEU;71 ROUTE DE FÈRE EN TARDENOIS;2200;BELLEU;03.23.75.33.44;49.3636;3.33834;Siligom;37;0
CENTRAL PNEUS - COMMERCY;ZONE ARTISANALE;55200;COMMERCY;03.29.920.920;48.7628;5.59066;Siligom;37;0
VENTURINI PNEUS - CORTE;RUE DE LA GARE;20250;CORTE;04.95.46.02.15;42.3086;9.14995;Siligom;37;0
RELAIS PNEUS - LOUHANS;79 RUE DES BORDES;71500;LOUHANS;03 85 75 77 50;46.6235;5.22661;Siligom;37;0
LJM PNEUS - GRAULHET;32 AVENUE MARCEL PAGNOL;81300;GRAULHET;05 63 34 50 50;43.7679;1.99708;Siligom;37;0
OPALE PNEUS - ECUIRES;220, RUE DE PARIS;62170;ECUIRES;03.21.06.09.97;50.4556;1.75629;Siligom;37;0
DUPANLOUP PNEUS - ANNECY;119, AVENUE DE GENÈVE;74000;ANNECY;04.50.57.03.81;45.9214;6.12389;Siligom;37;0
BROCHE PNEUS - VEYNES;ROUTE DE GAP;5400;VEYNES;04.92.58.02.23;44.5397;5.8391;Siligom;37;0
CRAPONNE PNEUS - CRAPONNE;77, VOIE ROMAINE;69290;CRAPONNE;09.66.90.48.29;45.7506;4.73986;Siligom;37;0
MAZOYON PNEUS - RIORGES;192 RUE MICHEL RONDET;42153;RIORGES;09.81.23.27.91;46.0561;4.04434;Siligom;37;0
LIBERATION AUTOMOBILES - VALENCE;112 - 114 AVENUE DE LA LIBÉRATION;26000;VALENCE;04.75.81.05.04;44.9076;4.88591;Siligom;37;0
AUTOSERVICE 67 - HAGUENAU;5 RUE SAINT EXUPÉRY;67500;HAGUENAU;09 80 58 76 06;48.7948;7.80775;Siligom;37;0
COMBOURG PNEUS - COMBOURG;ALLÉE DES ECOTAYS;35270;COMBOURG;02.99.73.20.70;48.4174;-1.7476;Siligom;37;0
DMD PNEUS - MERU;4 ALLÉE LUCIEN BARBIER;60110;MERU;03.44.10.85.70;49.2213;2.12865;Siligom;37;0
PNEULIB - LE VIGEAN;RUE NOUVELLE;15200;LE VIGEAN;07 50 47 81 47;45.2237;2.34158;Siligom;37;0
BOSSARD PNEUS - CHOLET;41 BIS, RUE DE LA JOMINIÈRE;49300;CHOLET;02.41.62.29.53;47.0711;-0.869141;Siligom;37;0
VULCALUC - LE LUC;RN7;83340;LE LUC;04.94.60.73.71;43.3945;6.31466;Siligom;37;0
CRANSAC PNEUS - CRANSAC;AVENUE DU 19 MARS 1962;12110;CRANSAC;05.65.63.00.64;44.5258;2.27101;Siligom;37;0
ALPES PNEUS - REIGNIER;44, ROUTE DE SAINT ANGE;74930;REIGNIER;04.50.95.00.95;46.1382;6.27098;Siligom;37;0
REBBERG PNEUS - BRUNSTATT;276, AVENUE D'ALTKIRCH;68350;BRUNSTATT;03.89.31.95.24;47.728;7.32239;Siligom;37;0
E.K.J PNEUS - VILLEPINTE;2 ALLÉE ANTOINE DE SAINT EXUPÉRY;93420;VILLEPINTE;01 43 85 44 30;48.9669;2.54355;Siligom;37;0
LETRAM PNEUS - GRIGNY;96 AVENUE MARCELIN BERTHELOT;69520;GRIGNY;04.78.16.88.35;45.5958;4.77816;Siligom;37;0
ESTOURNET PNEUS - LODEVE;1 ROUTE DE MONTPELLIER;34700;LODEVE;04.67.88.59.21;43.7193;3.32416;Siligom;37;0
C.P.C PNEU - LANGOGNE;LA CHAN - ROUTE DE SAINT-ALBAN EN MONTAGNE;48300;LANGOGNE;04.66.46.66.27;44.7298;3.86236;Siligom;37;0
MECAPNEUS SERVICE - LOUVIGNY;24 RUE DE CHEGNY;57420;LOUVIGNY;03.87.52.92.92;48.959;6.18996;Siligom;37;0
LEZIPNEU - LEZIGNAN CORBIERES;ZAC DE VITRAC;11200;LEZIGNAN CORBIERES;04.68.27.56.14;43.188;2.75152;Siligom;37;0
BJ PNEUS - REHAINVILLER;40 RUE DE LA STRASBOURGEOISE;54300;REHAINVILLER;03 83 74 39 82;48.5626;6.4706;Siligom;37;0
BESAIN PNEUS - LAQUEUILLE;GARE DE LAQUEUILLE;63820;LAQUEUILLE;04.73.22.07.57;45.6489;2.70712;Siligom;37;0
PNEUS 2000 - MILLAU;8, AVENUE MARTEL;12100;MILLAU;05.65.60.09.77;44.1145;3.08306;Siligom;37;0
AUTO SERVICE 46 - FIGEAC;14, AVENUE D'AURILLAC;46100;FIGEAC;05.65.34.82.10;44.6086;2.0445;Siligom;37;0
BOUTIQUE DU PNEU - EYSINES;254, AVENUE DU TAILLAN;33320;EYSINES;05.56.28.34.16;44.887;-0.658417;Siligom;37;0
PNEU MONTAGE SERVICE - LAGNIEU;LE GRAND BLOSSIEU;1150;LAGNIEU;04.74.40.18.70;45.9101;5.34072;Siligom;37;0
LEADER PNEUS - LE PONTET;29 AVENUE CHARLES DE GAULLE;84130;LE PONTET;04 90 32 37 67;43.9587;4.84999;Siligom;37;0
CENTRAL PNEUS - FAINS VEEL;ROUTE DE REIMS;55000;FAINS VEEL;03.29.773.773;48.7967;5.12532;Siligom;37;0
POINT SERVICE AUTO - VINCEY;20, RUE DE LORRAINE;88450;VINCEY;03.29.38.55.46;48.3466;6.32555;Siligom;37;0
MC PNEUS AUTOMOBILE - NIMES;230 ROUTE DE ROUQUAIROL;30900;NIMES;04.66.29.00.05;43.8142;4.33194;Siligom;37;0
AUTO SECURITE - MAUBEUGE;BOULEVARD LAMARTINE EPINETTE;59600;MAUBEUGE;03 27 64 97 91;50.2845;3.96675;Siligom;37;0
BALESI AUTOMOBILES - PORTO VECCHIO;LA PORETA - ROUTE DE BASTIA;20137;PORTO VECCHIO;04.95.70.15.55;41.6165;9.28322;Siligom;37;0
ESTOURNET PNEUS - LE BOULOU;17 CARRER D'EN CAVAILLES;66160;LE BOULOU;04 68 83 40 00;42.5325;2.83849;Siligom;37;0
PA. PA PNEUS - TARASCON;ZAC DU ROUBIAN;13150;TARASCON;04.90.91.01.01;43.806;4.65752;Siligom;37;0
J.A PNEUS SERVICES - TULETTE;166 ZA LE GRAND DEVES;26790;TULETTE;04.75.98.34.10;44.2868;4.95173;Siligom;37;0
COULOMMIERS POIDS LOURD - MOUROUX;2105 AVENUE DU GÉNÉRAL DE GAULLE;77120;MOUROUX;01.64.03.27.03;48.8289;3.02628;Siligom;37;0
MONT BLANC PNEUS - DOMANCY;2619, ROUTE DU FAYET;74700;DOMANCY;04.50.93.63.23;45.9039;6.68959;Siligom;37;0
PNEU SERVICE PONTISSALIEN - PONTARLIER;35, RUE EIFFEL;25300;PONTARLIER;03.81.39.33.87;46.9139;6.33521;Siligom;37;0
