codeTrMake;descriptionTrMake;
Ren;Renault;
Mer;Mercedes;
Ive;Iveco;
MAN;MAN;
Vol;Volvo;
DAF;DAF;
Sca;Scania;
Den;Dennis;
Set;Setra;
For;Ford;
Fia;Fiat;
