NOM;ADRESSE;CP;LAT;LON;VILLE;TEL;EMAIL
MPV AUTO 72;12 AVENUE DU MANS;72500 ;47.6987697;0.4135728;CHATEAU DU LOIR;null;null
C&C CENTRALE DU PNEU;456 ROUTE DU LAC;73110 ;45.4827597;6.0656069;DETRIER;null;null
FORUM PNEUS;65-67, RUE DE FRANCE;77300 ;48.4057463;2.6949710;FONTAINEBLEAU;null;null
HYPERPNEUS;382, RUE MENDES France;76600 ;49.5154583;0.1549686;LE HAVRE;null;null
HYPERPNEUS 93;143 rue de meaux;93410 ;48.9354349;2.5719446;VAUJOURS;null;null
GARAGE BLACHON;161-163, AVENUE ALBERT 1ER;81100 ;43.5969672;2.2282193;CASTRES;null;null
PEREIRA PNEUS;52 avenue du 10 éme dragon;82 000;44.0160790;1.3529500; MONTAUBAN;null;null
MANU PNEU;ZI LES POPINS;90500 ;47.4948660;6.9102620;BEAUCOURT;null;null
HYPERPNEUS 94;82, BOULEVARD ALSACE-LORRAINE;94170 ;48.8504312;2.5024681;LE PERREUX;null;null
MOP PNEUS;34 chemin de la Villette;83400 ;43.1091870;6.1224099;HYERES;null;null
VAISON PNEUS;ROUTE DE NYONS - AVENUE MARCEL PAGNOL ZA DU BRUSQUET;84110 ;44.2409680;5.0751980;VAISON LA ROMAINE;null;null
PNEUS DU BOCAGE;65 AVENUE DE CHOLET;85500 ;46.8825544;-1.0104292;LES HERBIERS;null;null
ST FLORENTIN PNEUMATIQUES - ASP;7 rue Jules Lancôme;89600 ;48.0029401;3.7281375;SAINT FLORENTIN;null;null
CENTRE PIERRE PNEUS;131 AVENUE DE VERSAILLES - VILLEPREUX LES CLAYES;78450 ;48.8301019;2.0052690;VILLEPREUX;null;null
