Peugeot;308 SW;2.0 BlueHDi 150 FAP BVA6 Allure ;Break;7;30 700 €;diesel;4 cylindres en ligne;16s; 1997 cm3; 7 cv;150;110 kw; 370 nm à 2000 tr/min; traction avant;Automatique;boîte automatique;6 vitesses; 11.2; 205/55 r16 vce pneu en goodyear; 205/55 r16 vce pneu pas cher; 4,59  / 1,86  / 1,47 ; 2.73; 53 l;1420;2000;610;1660; 1400 kg; 212 km/h; 8.9 s; 4.8 l/100 km; 3.8 l/100 km; 4.1 l/100 km; 108 g/km;5;5; euro 6; 0ois 0 km; Traction avant; Boîte automatique, 6 vitesses; 11.2 m; 205/55 R16 VCe pneu en Goodyear; 205/55 R16 VCe pneu pas cher;VP;Oui;Non;Oui;Non;Oui;Non
Peugeot;308 SW;2.0 BlueHDi 150 FAP BVM6 Féline ;Break;7;31 800 €;diesel;4 cylindres en ligne;16s; 1997 cm3; 7 cv;150;110 kw; 370 nm à 2000 tr/min; traction avant;Manuelle;boîte manuelle;6 vitesses; 11.2; 225/45 r17 vces pneus pas cher; 225/45 r17 vce pneu en continental; 4,59  / 1,86  / 1,47 ; 2.73; 53 l;1315;1970;610;1660; 1500 kg; 209 km/h; 10.1 s; 4.7 l/100 km; 3.7 l/100 km; 4 l/100 km; 105 g/km;5;5; euro 6; 0ois 0 km; Traction avant; Boîte manuelle, 6 vitesses; 11.2 m; 225/45 R17 VCes pneus pas cher; 225/45 R17 VCe pneu en Continental;VP;Oui;Non;Oui;Non;Oui;Non
Peugeot;308 SW;2.0 BlueHDi 150 FAP BVM6 Allure ;Break;7;29 500 €;diesel;4 cylindres en ligne;16s; 1997 cm3; 7 cv;150;110 kw; 370 nm à 2000 tr/min; traction avant;Manuelle;boîte manuelle;6 vitesses; 11.2; 205/55 r16 vce pneu enichelin; 205/55 r16 vpromo sur ces pneus; 4,59  / 1,86  / 1,47 ; 2.73; 53 l;1315;1970;610;1660; 1500 kg; 214 km/h; 9.8 s; 4.4 l/100 km; 3.5 l/100 km; 3.8 l/100 km; 99 g/km;5;5; euro 6; 0ois 0 km; Traction avant; Boîte manuelle, 6 vitesses; 11.2 m; 205/55 R16 VCe pneu en Michelin; 205/55 R16 VPromo sur ces pneus;VP;Oui;Non;Oui;Non;Oui;Non
Peugeot;308 SW;1.6 e-HDi 115 FAP BVM6 Féline ;Break;6;29 800 €;diesel;4 cylindres en ligne;8s; 1560 cm3; 6 cv;115;85 kw; 270 nm à 1750 tr/min; traction avant;Manuelle;boîte manuelle;6 vitesses; 11.2; 225/45 r17 vce pneu enichelin; 225/45 r17 vcommandez ces pneus; 4,59  / 1,86  / 1,47 ; 2.73; 53 l;1200;1870;610;1660; 1300 kg; 189 km/h; 11.3 s; 4.4 l/100 km; 3.5 l/100 km; 3.8 l/100 km; 100 g/km;5;5; euro 5; 0ois 0 km; Traction avant; Boîte manuelle, 6 vitesses; 11.2 m; 225/45 R17 VCe pneu en Michelin; 225/45 R17 VCommandez ces pneus;VP;Oui;Non;Oui;Non;Oui;Non
Peugeot;308 SW;1.6 e-HDi 115 FAP BVM6 Allure ;Break;5;27 500 €;diesel;4 cylindres en ligne;8s; 1560 cm3; 5 cv;115;85 kw; 270 nm à 1750 tr/min; traction avant;Manuelle;boîte manuelle;6 vitesses; 11.2; 205/55 r16 vce pneu enichelin; 205/55 r16 vpromo sur ces pneus; 4,59  / 1,86  / 1,47 ; 2.73; 53 l;1200;1870;610;1660; 1300 kg; 193 km/h; 10.6 s; 4.2 l/100 km; 3.3 l/100 km; 3.7 l/100 km; 95 g/km;5;5; euro 5; 0ois 0 km; Traction avant; Boîte manuelle, 6 vitesses; 11.2 m; 205/55 R16 VCe pneu en Michelin; 205/55 R16 VPromo sur ces pneus;VP;Oui;Non;Oui;Non;Oui;Non
Peugeot;308 SW;1.6 e-HDi 115 FAP BVM6 Active ;Break;5;25 400 €;diesel;4 cylindres en ligne;8s; 1560 cm3; 5 cv;115;85 kw; 270 nm à 1750 tr/min; traction avant;Manuelle;boîte manuelle;6 vitesses; 11.2; 205/55 r16 vce pneu pas cher; 205/55 r16 vce pneu en pirelli; 4,59  / 1,86  / 1,47 ; 2.73; 53 l;1200;1870;610;1660; 1300 kg; 193 km/h; 10.6 s; 4.2 l/100 km; 3.3 l/100 km; 3.7 l/100 km; 95 g/km;5;5; euro 5; 0ois 0 km; Traction avant; Boîte manuelle, 6 vitesses; 11.2 m; 205/55 R16 VCe pneu pas cher; 205/55 R16 VCe pneu en Pirelli;VP;Oui;Non;Non;Non;Oui;Non
Peugeot;308 SW;1.6 HDi 92 FAP BVM5 Allure ;Break;5;26 150 €;diesel;4 cylindres en ligne;8s; 1560 cm3; 5 cv;92;68 kw; 230 nm à 1750 tr/min; traction avant;Manuelle;boîte manuelle;5 vitesses; 11.2; 205/55 r16 vce pneu pas cher; 205/55 r16 vce pneu en dunlop; 4,59  / 1,86  / 1,47 ; 2.73; 53 l;1180;1850;610;1660; 1200 kg; 181 km/h; 11.9 s; 4.5 l/100 km; 3.5 l/100 km; 3.8 l/100 km; 99 g/km;5;5; euro 5; 0ois 0 km; Traction avant; Boîte manuelle, 5 vitesses; 11.2 m; 205/55 R16 VCe pneu pas cher; 205/55 R16 VCe pneu en Dunlop;VP;Oui;Non;Oui;Non;Oui;Non
Peugeot;308 SW;1.6 HDi 92 FAP BVM5 Active ;Break;5;24 050 €;diesel;4 cylindres en ligne;8s; 1560 cm3; 5 cv;92;68 kw; 230 nm à 1750 tr/min; traction avant;Manuelle;boîte manuelle;5 vitesses; 11.2; 205/55 r16 vce pneu pas cher; 205/55 r16 vce pneu pas cher; 4,59  / 1,86  / 1,47 ; 2.73; 53 l;1180;1850;610;1660; 1200 kg; 181 km/h; 11.9 s; 4.5 l/100 km; 3.5 l/100 km; 3.8 l/100 km; 99 g/km;5;5; euro 5; 0ois 0 km; Traction avant; Boîte manuelle, 5 vitesses; 11.2 m; 205/55 R16 VCe pneu pas cher; 205/55 R16 VCe pneu pas cher;VP;Oui;Non;Non;Non;Oui;Non
Peugeot;308 SW;1.6 HDi 92 FAP BVM5 Access ;Break;5;22 350 €;diesel;4 cylindres en ligne;8s; 1560 cm3; 5 cv;92;68 kw; 230 nm à 1750 tr/min; traction avant;Manuelle;boîte manuelle;5 vitesses; 11.2; 195/65 r15 hce pneu en dunlop; 195/65 r15 hpromo sur ces pneus; 4,59  / 1,86  / 1,47 ; 2.73; 53 l;1180;1850;610;1660; 1200 kg; 181 km/h; 11.9 s; 4.5 l/100 km; 3.5 l/100 km; 3.8 l/100 km; 99 g/km;5;5; euro 5; 0ois 0 km; Traction avant; Boîte manuelle, 5 vitesses; 11.2 m; 195/65 R15 HCe pneu en Dunlop; 195/65 R15 HPromo sur ces pneus;VP;Oui;Non;Non;Non;Oui;Non
Peugeot;308 SW;1.6 THP 155 BVM6 Féline ;Break;8;28 950 €;Essence;4 cylindres en ligne;16s; 1598 cm3; 8 cv;155;115 kw; 240 nm à 1400 tr/min; traction avant;Manuelle;boîte manuelle;6 vitesses; 10.8; 225/45 r17 vce pneu en promo; 225/45 r17 vces pneus pas cher; 4,59  / 1,86  / 1,47 ; 2.73; 53 l;0;0;610;1660; 0 kg; 210 km/h; 0 s; 7.6 l/100 km; 4.4 l/100 km; 5.6 l/100 km; 129 g/km;5;5; euro 5; 0ois 0 km; Traction avant; Boîte manuelle, 6 vitesses; 10.8 m; 225/45 R17 VCe pneu en promo; 225/45 R17 VCes pneus pas cher;VP;Oui;Non;Oui;Non;Oui;Non
